Label,Text,Desc
Abilities,Mentoring,"Mentoring ability is to listen, empathize, and show an interest in the mentee's development. It is important to reserve judgment, demonstrate positive body language, and be open and honest."
Abilities,Mnemonics,Mnemonics is the ability to encode and retrieve large pieces of information from long-term memory.
Abilities,Modeling & concept formation,"Concept modeling is the ability to organize and structure a business vocabulary so that the operational know-how of a domain can be communicated, thoroughly, and consistently."
Skill,Narrative Design in Product Development,Develop the flow of the content through designing narrative elements within product development and at the product launch stages to create an engaging audience experience
Knowledge,Narrative Design in Product Development,"Categorization, Clarification"
Abilities,Negotiating and Conflict resolution,"Negotiation abilities are vital to managerial success because they help to establish stakeholder relationships, achieve business objectives, and resolve workplace conflicts. Manage stress quickly while remaining alert and calm. By staying calm, the employee can accurately read and interpret verbal and nonverbal communication."
Skill,Network administration and maintenance,"Monitor network in order to provide for optimum levels of network performance and minimisation of downtime. This includes detection, isolation, recovery and limitation of the impact of failures on the network as well as provision of support to system users through ongoing maintenance information sharing and training"
Knowledge,Network administration and maintenance,"Initiative, Cognitive flexibility"
Skill,Network configuration,"Configure network hardware and software components according to organisational guidelines and technical requirements. This includes the implementation and configuration of multiple servers, network devices and network management tools as well as the management of user network access to ensure stable and reliable network operations"
Knowledge,Network configuration,"Coordination & Sequencing, Time Management"
Skill,Network security,"Design and configure network systems to ensure the integrity of network infrastructure through the use of appropriate protection, detection and response mechanisms"
Knowledge,Network security,"Attention to Details, Inference"
Skill,Network slicing,Create logically partitioned networks from a shared infrastructure to provide optimised and customised services for different users based on service level agreements
Knowledge,Network slicing,"Attention to Details, Inference"
Knowledge,Networking,Networking
Skill,Networking,"Identifying, evaluating and strategising to seize new business opportunities to grow the organisation’s business operations."
Knowledge,Networking,"Inquiry (Appreciative), Negotiating and Conflict Resolution"
Abilities,Opportunity recognition,Opportunity recognition is an essential ability for an intrapreneur to have. It encourages employees to develop new products and skills and improve those that already exist.
Skill,Organisational Analysis,Evaluate factors that can affect the organization’s performance as well as strategically assessing the organization’s own resources and potential for improvement
Knowledge,Organisational Analysis,"Categorization, Attention to Details"
Skill,Organisational design,Develop and facilitate the implementation of organisational design to ensure its effectiveness and alignment with stakeholders' priorities
Knowledge,Organisational design,"Inference, Pattern Recognition and Matching"
Knowledge,Organizational analysis,Organizational analysis
Knowledge,Organizational analysis,Organizational analysis
Knowledge,Organizational design,Organizational design
Skill,Partnership Management,Build cooperative partnerships with inter-organisational and external stakeholders and leveraging of relations to meet organisational objectives. This includes coordination andstrategizing with internal and external stakeholders through close cooperation and exchange of information to solve problems
Knowledge,Partnership Management,"Leadership (Motivating team members), Negotiating and Conflict Resolution"
Abilities,Pattern recognition and matching,Pattern Recognition is a special ability of the human brain to not only find patterns but figure out in a logical way what those patterns suggest about what will happen next.
Skill,Pattern recognition systems,Develop and apply intelligent pattern recognition systems and techniques to analyse data and derive useful hidden patterns to solve problems
Knowledge,Pattern recognition systems,"Inference, Pattern Recognition and Matching"
Skill,People and Performance Management,"Establish organisation-wide performance management strategies to facilitate performance management, including identification of key performance indicators and employee performance assessment"
Knowledge,People and Performance Management,"Leadership (Motivating team members), Continuous learning"
Abilities,Perception speed,"Perception speed is the ability to quickly and accurately compare similarities and differences among sets of letters, numbers, objects, pictures, or patterns.This ability also includes comparing a presented object with a remembered object."
Skill,Performance management,"Evaluate and optimise network, system and/or software performance against user and business requirements. This involves the introduction and utilisation of new tools and mechanisms to gather, analyse and fully optimise performance data. This also includes the initiation of controls, modifications and new investments to enhance end-to-end performance of ICT components, systems and services"
Knowledge,Performance management,"Continuous Learning, Cognitive Flexibility"
Abilities,Persistence,Persistence is the ability to overcome obstacles the employee may face and use their failures to learn and grow.
Abilities,Plasticity (neuroplasticity behavior),"Neuroplasticity is the brain's ability to change itself constantly by creating new neural pathways and losing those that are no longer used. When we learn a new skill, it requires sustained practice that sufficiently challenges our brain so that we think and behave in a new way. To most people, this might feel unpleasant as they need to extend or leave their comfort zones."
Skill,Portfolio management,"Manage systematically the IT investments, projects, services and activities within a company, in line with business objectives and priorities. This involves the development of a framework to evaluate potential costs and benefits and make key decisions about IT investments, internal allocation and utilisation of IT resources and/or assets and any changes to IT processes or services offered"
Knowledge,Portfolio management,"Judgment (Personal and Professional), Negotiating and Conflict Resolution"
Skill,Pricing Strategy,Develop an effective and agile pricing strategy for IT products and services based on a range of internal and external factors
Knowledge,Pricing Strategy,"Continuous Learning, Initiative"
Abilities,Prioritize efficiently,"Prioritisation in the workplace refers to a person's ability to correctly appraise the relevant importance or urgency of assigned tasks. Employees with better prioritisation skills will be better equipped to make strategic decisions, show excellent judgement, and display strong time-management skills."
Skill,Problem management,"Manage the lifecycle of problems to prevent problems and incidents from occurring, eliminate recurring incidents and minimise impact of unavoidable incidents"
Knowledge,Problem management,"Continuous Learning, Initiative"
Skills,Problem resolution,Problem resolution
Skill,Problem solving,Generate effective and efficient solutions to solve problems and capitalise on new opportunities
Skill,Problem solving,"Autonomy (Intellectual), Insight, intuition and imagination"
Skill,Process improvement and optimisation,Establish systems to discover critical processes and maximise these processes to achieve maximum efficiency in accordance with organisation procedures
Knowledge,Process improvement and optimisation,"Managing Changes, Prioritize Efficiently"
Skill,Process validation,"Verify that processes are reproducible and consistent in delivering quality products according to specifications, and in line with international regulations"
Knowledge,Process validation,"Inference, Reliability"
Skill,Procurement,"Develop and apply procurement processes related to the solicitation of technology services through external providers. This includes the review of proposals, setting of vendor selection guidelines, risk assessment through appropriate audits and tests and selection of external service providers based on stipulated evaluation criteria"
Knowledge,Procurement,"Attention to Details, Continuous Learning"
Skill,Product management,"Create and manage a product roadmap, involving the ideating, planning, forecasting, marketing and management of a product or a suite of products throughout stages of its lifecycle, from its conceptualisation to market entrance and eventual phasing-out. This includes the creation of a new product idea or concept and definition of the product strategy based on a projection of its potential benefits to the customer as well as the review of product performance against milestones and targets set."
Knowledge,Product management,"Acumen (Sagacity and shrewness), Reflection"
Skill,Product Risk Analytics,"Utilise quantitative methods, stress testing approaches and risk modelling to support robust integrated risk management frameworks and methodologies for products"
Knowledge,Product Risk Analytics,"Boldness (Risks Handling ), Pattern recognition and matching"
Skill,Product Risk Assessment,Perform assessment of risks through understanding the product development lifecycle
Knowledge,Product Risk Assessment,"Boldness (Risks Handling ), Judgment (personal and professional)"
Skill,Project feasibility assessment,Assess the business environment and organisational capabilities to evaluate and determine the feasibility of a project
Knowledge,Project feasibility assessment,"Categorization, Clarification"
Skill,Project management,"Perform planning, organisation, monitoring and control of all aspects of an IT programme and the strategic utilisation of resources to achieve the objectives within the agreed timelines, costs and performance expectations. In addition, the identification, coordination and management of project interdependencies, ensuring alignment with and achievement of business objectives"
Knowledge,Project management,"Attention to Details, Categorization"
Abilities,Prudence,"Prudence involves far-sighted planning as well as short-term, goal-directed planning. It is often referred to as cautious wisdom, practical wisdom, and practical reason."
Skill,Quality assurance,"Apply quality standards to review performance through the planning and conduct of quality assurance audits to ensure that quality expectations are upheld. This includes the analysis of quality audit results and setting of follow-up actions to improve or enhance the quality of products, services or processes"
Knowledge,Quality assurance,"Inference, Initiative"
Skill,Quality engineering,"Create, deploy and maintain quality-related systems, processes and tools to establish an environment that supports process and product quality"
Knowledge,Quality engineering,"Attention to Details, Inference"
Skill,Quality Standards,"Develop, review and communicate a clear, quality expectations and standards within an organisation that are aligned to the company's values and business objectives. This encompasses the setting and implementation of quality expectations for IT products and services delivered to both internal or external clients"
Knowledge,Quality Standards,"Attention to Details, Continuous Learning"
Skill,Radio Frequency Engineering,"Design, deploy and maintain radio frequency infrastructure for IT systems and wireless communication networks"
Knowledge,Radio Frequency Engineering,"Continuous Learning, Initiative"
Abilities,Reflection,Reflection
Abilities,Reflection,"Reflection is about reviewing, analysing and evaluating experiences. It involves thinking about your experience, and taking learning points away from it. When reflecting on work experience, try to consider the role that you were observing."
Abilities,Relationship Building,Relationship Building
Abilities,Relationship-building,"Relationship-building skills are essential for getting along with coworkers, contributing to a team and building an understanding between yourself and others."
Abilities,Reliability,"Reliability is to complete tasks on time, every time with the same high quality of work. Showing up on time, taking charge in moments of crisis, and respecting deadlines"
Skill,Research,Research on a concept or idea to provide inputs for content development
Knowledge,Research,"Curiosity, Inquiry (Appreciative)"
Abilities,Resilience,"Resilience is the ability to tackle stress, a competitive job market, workplace conflicts, and address challenges on the job."
Abilities,Responsibility,Responsibility
Skill,Risk and Crisis Management,"Apply strategies designed to enable an organisation to deal with disruptive events by planning for responses to potential crises, establishing monitoring systems and training systems, communicating both internally and externally, and leading recovery processes"
Knowledge,Risk and Crisis Management,"Continuous Learning, Judgment (Personal and Professional)"
Skill,Risk Compliance and Governance,"Enforce corporate governance and risk compliance within the organisation through the establishment of policies, compliance programmes and management systems"
Knowledge,Risk Compliance and Governance,"Continuous Learning, Judgment (Personal and Professional)"
Skill,Sales Channel Management,"Develop and implement a strategy to manage the channels and channel partners through which IT products and/or services are sold. This also includes the assessment and selection of suitable channel partners, establishment and expansion of alliances with channel partners and maintenance of a committed network of distributors"
Knowledge,Sales Channel Management,"Initiative, Relationship-building"
Skill,Sales Strategy,"Develop a sales strategy, plan and targets, consider market potential, industry trends and various internal and external business factors as well as the evaluation and further refinement of the sales strategy"
Knowledge,Sales Strategy,"Inference, Initiative"
Knowledge,Security administration,Security administration
Skill,Security administration,"Administer, configure and update of security programmes and mechanisms, including the application of system patches to ensure that enterprise assets are adequately protected against threats. This also includes the authorisation, management and monitoring of access control permissions and/or rights to various IT facilities"
Knowledge,Security administration,"Boldness (Risks Handling ), Continuous learning"
Skill,Security architecture,"Design security architectures and controls; either embedding of security principles into the design of architectures to mitigate the risks posed by new technologies and business practices, or the actual design and specification of implementable security components, along with the accompanying control measures, to meet defined business security needs"
Knowledge,Security architecture,"Judgment (Personal and Professional), Pattern Recognition and Matching"
Skill,Security Assessment and Testing,"Conduct threat modelling, vulnerability assessment and penetration testing to reveal vulnerabilities or lapses in the existing systems or security mechanisms and evaluate the extent to which systems are able to protect the organisation's data and maintain functionality as intended"
Knowledge,Security Assessment and Testing,"Attention to Details, Initiative"
Skill,Security Education and Awareness,"Drive security education and awareness in an organisation by providing advice and guidance on potential risks, mitigation strategies and best practices. This includes development of communication strategies and training materials to ensure employee adoption and adherence to security policies and standards"
Knowledge,Security Education and Awareness,"Continuous Learning, Initiative"
Skill,Security Governance,"Develop and disseminate corporate security policies, frameworks and guidelines to ensure that day-to-day business operations guard or are well protected against risks, threats and vulnerabilities"
Knowledge,Security Governance,"Attention to Details, Categorization"
Skill,Security Programme Management,"Develop and manage security solutions, products and services through technology innovation, experimentation and collaboration. This includes security programme planning, developing and testing new security capabilities and implementing security technologies and programmes"
Knowledge,Security Programme Management,"Initiative, Continuous Learning"
Skill,Security Strategy,"Establish the organisation's security vision, strategy and initiatives to ensure adequate protection of assets. This involves the planning, implementation and review of enterprise-wide security controls which includes policies, processes, physical infrastructure, software and hardware functions to govern and preserve the privacy, security and confidentiality of the organisation's information and assets"
Knowledge,Security Strategy,"Confidentiality, Continuous learning"
Skill,Self management,"Take ownership of managing one’s personal effectiveness, personal brand and holistic physical, mental, emotional and social well-being"
Skill,Self management,"Emotional intelligence (self-awareness, self-regulation, motivation, empathy, and social-awareness), Judgment (personal and professional)"
Skill,Self-learning Systems,Design and develop self-learning systems using reinforcement learning and evolutionary learning techniques
Knowledge,Self-learning Systems,"Curiosity, Initiative"
Skills,Self-management,Self-management
Skill,Sense making,"Leverage sources of qualitative and quantitative information and data to recognise patterns, spot opportunities, infer insights and inform decisions"
Skill,Sense making,"Inference, Pattern recognition and matching "
Abilities,Sensory-processing,"Sensory processing is the ability to respond to incoming sensory information. We learn and grow through our senses, which include touch, sight, sound, smell, taste, proprioception, and vestibular sensations."
Skill,Service Level Management,"Plan, monitor and manage service provisions for the achievement of agreed service level targets"
Knowledge,Service Level Management,"Attention to Details, Prudence"
Knowledge,Software configuration,Software configuration
Skill,Software configuration,"Configure software products and apply scripts and automation tools to integrate and deploy software releases to various platforms and operating environments. This includes subsequent modifications to software configuration, based on outcomes of systems and/or configuration tests"
Knowledge,Software configuration,"Acumen (Sagacity and shrewness), Attention to Details"
Skill,Software design,"Create and refine the overall plan for the design of software, including the design of functional specifications starting from the defined business requirements as well as the consideration and incorporation of various controls, functionality and interoperability of different elements into a design blueprint or model which describes the overall architecture in hardware, software, databases, and third party frameworks that the software will use or interact with"
Knowledge,Software design,"Coordination & Sequencing, Pattern Recognition and Matching"
Skill,Software testing,"Assess and test the overall effectiveness and performance of an application, involving the setting up of suitable testing conditions, definition of test cases and/or technical criteria"
Knowledge,Software testing,"Attention to Details, Initiative"
Skill,Solution architecture,"Design or refine a solution blueprint or structure to guide the development of IT solutions in hardware, software, processes or related components, to meet current and future business needs. The solution architecture developed may lead to broad or specific changes to IT services, operating models and processes, and should provide a framework to guide the development and modification of solutions"
Knowledge,Solution architecture,"Inference, Judgment (Personal and Professional)"
Abilities,Space,Space
Abilities,Spatial,Is the ability to be aware of your relationships with the environment around you (exteroceptive processes) and with yourself (interoceptive processes).
Skill,Stakeholder Management,"Manage stakeholder expectations and needs by aligning those with requirements and objectives of the organisation. This involves planning of actions to effectively communicate with, negotiate with and influence stakeholders"
Knowledge,Stakeholder Management,"Leadership (Motivating team members), Negotiating and Conflict Resolution"
Knowledge,Strategic planning,Strategic planning
Knowledge,Strategy implementation,Strategy implementation
Skill,Strategy Implementation,Execute and implement operational and tactical-level action plans in alignment with the organisation's business strategies
Knowledge,Strategy Implementation,"Accountability, Prioritize efficiently"
Skill,Strategy planning,Develop organisational strategies and policies by analysing the impact of internal and external influencing factors and seeking consultation from relevant stakeholders
Knowledge,Strategy planning,"Cognitive Flexibility, Initiative"
Knowledge,Supplier management,Supplier management
Skill,Sustainability management,"Plan, develop and roll out of an organisation-wide sustainability strategy. This includes the assessment of the organisation's utilisation and/or consumption of energy and other resources, vis-a-vis the availability and stability of supply sources and external best practices and standards in sustainability. This also includes the on-going monitoring and tracking of energy and/or resource-consumption over time, to identify impact on the organisation's internal and external environment as well as potential improvements in energy- or resourceefficiency."
Knowledge,Sustainability management,"Categorization, Cognitive Flexibility"
Skill,System integration,"Develop and implement a roadmap and specific integration solutions to facilitate integration of various ICT components and optimise inter-operability of systems and their interfaces. This includes the integration of various architectural components such as networks, servers, system platforms and their interfaces"
Knowledge,System integration,"Attention to Details, Holistic Thinking"
Skill,Systems design,"Design systems to meet specified business and user requirements that are compatible with established system architectures, as well as organisational and performance standards"
Knowledge,Systems design,"Inference, Managing Changes"
Skill,Systems thinking,"Understand complexity of cause-and-effect relationships of systems and processes across the organisation, as well as evaluate systems based on the value-creation and contribution to specific issues"
Knowledge,Systems thinking,"Inference, Holistic Thinking"
Skill,Technical Sales Support,"Develop preliminary technical solutions, proposal or initial prototypes to address customers' needs. This includes analysis and diagnosis of customers' technical requirements, design of proof of concept, and delivery of product demonstrations and/or customisation samples as part of broader end-to-end solution to customers"
Knowledge,Technical Sales Support,"Engage, Inquiry (appreciative)"
Skill,Test planning,"Develop a test strategy and systematic test procedures to verify and ensure that a product, system or technical solution meets its design specifications as well as the performance, load and volume levels set out. This includes the ability to define when different requirements will be verified across the product life stages, the tools used to perform the test, the data and/or resources needed to conduct the tests and testware in test cases, test scripts, test reports and test plans required"
Knowledge,Test planning,"Inference, Initiative"
Skill,Text Analytics and Processing,"Identify, extract and analyse text data using text analytics solutions to discover themes, patterns and trends"
Knowledge,Text Analytics and Processing,"Inference, Pattern Recognition and Matching"
Skill,Threat Analysis and Defence,"Enable and conduct analysis of malicious threats, to examine their characteristics, behaviours, capabilities, intent and interactions with the environment as well as the development of defence and mitigation strategies and techniques to effectively combat such threats"
Knowledge,Threat Analysis and Defence,"Boldness (Risks Handling ), Cognitive flexibility"
Skill,Threat Intelligence and Detection,"Monitor intelligence-gathering and anticipate potential threats to an ICT system proactively. This involves the pre-emptive analysis of potential perpetrators, anomalous activities and evidence-based knowledge and inferences on perpetrators' motivations and tactics"
Knowledge,Threat Intelligence and Detection,"Boldness (Risks Handling ), Cognitive flexibility"
Abilities,Time management,Time management is the ability to plan your time effectively. This allows you to efficiently and productively complete the activities and tasks you need to in the appropriate amount of time.
Skill,transdisciplinary thinking,"Apply concepts from multiple disciplines, and synthesise different areas of knowledge and insights to guide decisions, foster cooperation and drive continuous impr"
Skill,transdisciplinary thinking,"Cognitive flexibility, Autonomy (Intellectual)"
Knowledge,UI Design,UI Design
Skill,User experience design,"Conceptualise, project and make enhancement of the user's interaction and engagement with an IT product and/or service based on a robust analysis and understanding of the product and/or service's performance vis-a-vis the user's desired experience and outcomes. This involves creating wire frames to adequately guide and inform subsequent planning and development processes, and making enhancements to optimise the user's experience of the product and/or service"
Knowledge,User experience design,"Coordination & Sequencing, Pattern Recognition and Matching"
Skill,User interface design,"Design user interfaces for machines and software, incorporating visual, technical and functional elements that facilitate ease of access, understanding and usage. This would involve adding, removing, modifying or enhancing elements to make the user's interaction with the product as seamless as possible"
Knowledge,User interface design,"Inference, Pattern Recognition and Matching"
Skill,User Testing and Usability Testing,"Conduct and manage user tests to validate the feasibility of design, evaluate its functionality and ease of use as part of a user-centred design process"
Knowledge,User Testing and Usability Testing,"Curiosity, Initiative"
Skill,Vendor management,"Manage vendor relationships by ensuring performance as per contracts, operations within standards established by the organisation such as adherence to safety, security, and compliance standards"
Knowledge,Vendor management,"Negotiating and Conflict resolution, Reliability"
